Specimen #,Species,Clade,CladeDiv,logRL,logJaw,logOrbit,logCor
MCZ2029,Dimetrodon_grandis,Pelycosauria,Pelycosauria,3.219257493,2.595809467,,
FMNH UC1001,Dimetrodon_limbatus,Pelycosauria,Pelycosauria,3.489074797,2.56931111,,
AMNH FR4091,Secodontosaurus_longiramus,Pelycosauria,Pelycosauria,3.07783043,2.522068465,,
UCMP83459,Sphenacodon_ferox,Pelycosauria,Pelycosauria,3.356306049,2.436121205,,
SS 13315 13317,Palaeohatteria,Pelycosauria,Pelycosauria,1.697708721,1.831935467,,
RS 14752,Pantelosaurus,Pelycosauria,Pelycosauria,2.25561498,2.202384137,,
BPI/1/226,Procynosuchus,Cynodontia,Cynodontia,1.835303655,1.880813592,1.204119983,1.154393538
BP/1/5064,Galesaurus,Cynodontia,Cynodontia,2.142633454,1.949390007,1.255272505,1.008983204
TM279,Nanictosaurus,Cynodontia,Cynodontia,1.363781153,1.655906418,0.845718018,0.961302418
SAM PK11034,Thrinaxodon,Cynodontia,Cynodontia,1.753659647,1.890644536,1.173768823,1.22016041
PVSJ410,Probainognathus,Cynodontia,Cynodontia,0.467776919,1.662242245,,1.006893708
BPI/1/4658,Trirachodon,Cynodontia,Cynodontia,1.082677681,1.939519253,1.176091259,1.464355393
