Specimen #,Species,Rlarea1,RLarea2,logRL1,logRL2
SAM_PK_K6243,Cistecephaloides,102.776,106.8,2.011891711,2.028571253
BPI/1/253,Cistecephalus,107.554,106.658,2.031626567,2.027993436
UCMP41757,Diictodon,479.715,497.631,2.680983298,2.696907427
BPI/1/1307,Emydops,132.347,147.244,2.121714101,2.168037607
UCMP42916,Kannemeyeria vanhoepeni,1433.952,1265.712,3.156534614,3.102334898
UCMP31360,Lystrosaurus murrayi,335.097,421.907,2.52517054,2.625216731
UCMP137369,Placerias,4442.629,3434.048,3.647640047,3.535806361
BP/1/6685,Pristerodon,151.742,144.972,2.181105804,2.16128413
BPI/1/7934,Robertia,175.948,168.521,2.245384335,2.226654028
SAM PK8950,Hipposaurus,727.206,716.964,2.861657453,2.85549735
SAM PK K10037,Paraburnetia,654.932,668.824,2.816196211,2.825311849
BP/1/5064,Galesaurus,138.878,114.783,2.142633454,2.059877571
TM279,Nanictosaurus,23.109,27.052,1.363781153,1.432199379
BPI/1/226,Procynosuchus,68.439,70.186,1.835303655,1.846250492
SAM PK11034,Thrinaxodon,56.71,51.288,1.753659647,1.710015764
BPI/1/4658,Trirachodon,12.097,13.776,1.082677681,1.139123134
QR2986,Tapinocaninus,3811.731,4051.599,3.581122244,3.607626455
BPI/1/2465,Smilesaurus,2221.47,2023.724,3.346640453,3.306151282
BPI/1/2109,Cyonosaurus,1578.042,1736.528,3.198118558,3.23968179
BPI/1/743,Leontosaurus,799.405,887.312,2.90276686,2.948076355
BP/1/881,Lycaenops ornatus,711.141,819.364,2.851955718,2.913476879
UCMP83459,Sphenacodon ferox,2271.465,2182.938,3.356306049,3.339041401
TM254,Hofmeyria,225.563,250.659,2.353267862,2.399083303
NMQR 385,Ictidosuchoides,230.742,236.847,2.363126653,2.374467888
BPI/1/3155,Ictidostoma cf,298.338,300.454,2.474708574,2.47777799
UCMP40467,Mirotenthes,378.991,365.011,2.578628897,2.562305953
NMQR 3835,Moschorhinus,1826.455,1751.636,3.261608977,3.243443862
NMQR 3605,Olivierosuchus,410.588,414.611,2.613406252,2.61764082
SAM_PK_K11942,Pristerognathus,1180.892,1141.399,3.07221018,3.057437488
BPI/1/2710,Tetracynodon,63.601,62.683,1.803463944,1.797149774
BPI/1/844,Theriognathus,448.337,498.192,2.651604581,2.697396749
SAM_PK_K1392,Zorilladontops,32.212,43.054,1.50801769,1.634013506
