Species,regime,pterB
Tjacksonii,non-hearing,1.502356
Foustaleti,non-hearing,2.807464
Fverrucosus,non-hearing,3.056195
Kfischeri,non-hearing,2.18413
Tellioti,non-hearing,1.465018
Thoehnelii,non-hearing,2.60826
Tjohnstoni,non-hearing,1.430534
Ccalyptratus,hearing,2.446215
Cchamaeleon,hearing,2.681772
Cdilepis,hearing,2.000826
Cgracilis,hearing,2.42272
Csenegalensis,hearing,2.299637
Fpardalis,hearing,2.2738
Tcristatus,hearing,2.445461
Tmelleri,hearing,2.260507
Tmontium,hearing,2.574977
